years_used,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
8,37800,1,0,0,0,17.0,1591,121.3,5.0,866000
15,114000,1,0,0,0,14.3,1798,160.0,5.0,700000
15,48000,1,0,0,0,15.8,1172,65.0,5.0,300000
6,32000,0,0,0,0,15.1,2179,155.0,7.0,1700000
9,100000,0,0,0,0,19.09,1405,69.01,5.0,375000
12,150000,0,0,0,1,22.32,1582,126.32,5.0,522000
12,69000,0,0,0,0,21.9,1396,88.76,5.0,451999
16,100000,1,0,0,1,14.53,1798,138.1,5.0,300000
5,13000,1,0,0,0,21.63,998,67.04,5.0,475000
9,60000,0,0,0,0,24.3,1248,88.5,5.0,780000
8,40000,1,0,0,0,20.85,1197,83.14,5.0,595000
8,35000,1,0,0,0,20.51,998,67.04,5.0,440000
11,70000,0,0,0,2,20.45,1461,83.8,5.0,400000
9,50000,0,0,0,0,19.67,1582,126.2,5.0,1140000
8,76139,0,0,0,0,23.0,1498,98.96,5.0,850000
13,175000,0,0,0,3,19.3,1248,73.9,5.0,370000
7,25000,1,0,0,0,23.01,999,67.0,5.0,350000
10,40000,1,0,0,1,23.1,998,67.04,5.0,360000
17,65000,1,0,0,3,19.7,796,46.3,5.0,105000
12,90000,0,0,0,1,20.77,1248,88.76,7.0,625000
16,80000,1,0,0,1,17.92,1086,62.1,5.0,135000
10,110000,0,0,0,1,20.77,1248,88.76,7.0,700000
6,1303,1,1,0,0,17.8,1198,86.7,5.0,690000
7,31800,0,1,1,0,17.01,1968,188.0,5.0,3975000
8,45000,0,1,1,0,19.33,1999,177.0,5.0,3200000
8,37000,0,1,1,0,13.5,2987,254.79,5.0,6000000
7,29500,0,1,1,0,22.48,1995,187.74,5.0,3790000
6,7500,0,1,1,0,16.78,1995,190.0,5.0,5800000
7,50000,1,1,1,0,14.67,1798,177.46,5.0,1864999
9,35000,0,1,1,0,15.0,2143,204.0,5.0,2700000
8,41000,1,1,1,0,18.0,1497,117.6,5.0,795000
12,39000,1,1,1,0,14.28,1798,138.03,5.0,625000
7,22000,0,1,1,0,18.0,1969,190.0,5.0,3400000
10,53000,0,1,1,0,12.07,2967,241.4,7.0,2650000
10,40000,0,1,0,0,26.21,1248,88.5,5.0,535000
8,47000,0,1,1,0,13.5,2987,282.0,5.0,5850000
15,72200,1,1,1,1,10.8,2497,150.0,5.0,975000
9,49900,1,1,0,0,16.3,1797,147.5,5.0,805000
8,9000,0,1,1,0,13.6,1999,177.0,5.0,2625000
7,11000,1,1,0,0,17.0,1198,108.5,5.0,811000
14,49000,1,0,0,0,15.04,1598,103.6,5.0,375000
13,95000,1,0,0,0,16.3,1797,147.5,5.0,550000
9,11000,1,1,1,0,14.3,1598,103.5,5.0,645000
7,18000,1,1,1,0,15.04,1991,183.0,5.0,2550000
11,46100,1,1,0,0,16.02,1373,93.7,7.0,599000
8,16000,1,1,1,0,14.74,1991,181.04,5.0,2700000
8,18000,1,1,1,0,15.6,1497,116.3,5.0,875000
6,9654,1,1,1,0,19.56,1197,81.8,5.0,894999
14,11000,1,1,0,0,23.95,998,67.05,5.0,175000
13,24300,1,1,0,0,21.21,1197,81.8,5.0,340000
9,42163,0,1,1,1,11.36,2755,171.5,7.0,1525000
7,8000,0,1,1,0,21.5,1497,108.5,5.0,1025000
9,30000,0,1,1,0,22.69,1995,190.0,5.0,2150000
9,41000,1,1,1,0,19.16,2494,157.7,5.0,1900000
9,12000,0,1,1,0,18.12,1995,190.0,5.0,2900000
16,71000,1,1,1,0,12.1,2362,164.7,5.0,450000
9,20000,1,0,0,0,17.5,1373,91.1,7.0,850000
8,30000,1,0,1,0,42.0,1969,400.0,4.0,10000000
14,100000,0,0,0,1,20.54,1598,103.6,5.0,300000
7,9500,1,0,0,0,18.16,1196,86.8,5.0,575000
14,120000,0,0,0,0,20.0,1399,68.0,5.0,160000
10,36600,1,0,0,0,20.4,1197,81.8,5.0,515000
10,50000,1,0,1,1,20.51,998,67.0,5.0,390000
9,14000,1,0,0,1,18.6,1197,81.83,5.0,550000
26,40000,1,0,0,1,16.1,796,37.0,4.0,40000
15,120000,0,0,0,0,21.1,1248,73.9,5.0,220000
10,70000,1,0,0,0,18.9,1197,82.0,5.0,425000
6,13000,1,0,0,0,19.44,999,75.0,5.0,480000
11,60000,1,0,0,1,18.9,1197,82.0,5.0,400000
11,35000,1,0,0,0,19.1,1197,85.8,5.0,487000
9,44000,1,0,0,1,19.1,1197,82.0,5.0,386000
20,120000,1,0,0,1,13.0,1493,100.0,5.0,100000
15,60000,0,0,0,0,21.43,1364,87.2,5.0,300000
11,30000,0,0,0,1,13.0,2982,168.5,7.0,1750000
9,15000,1,0,0,1,18.15,1198,82.0,6.0,450000
8,90000,0,0,0,0,22.95,1248,74.0,5.0,490000
16,47000,1,0,0,1,17.0,1497,118.0,5.0,345000
20,90000,1,0,0,0,17.3,993,60.0,5.0,85000
15,120600,1,0,0,1,18.9,998,67.1,5.0,215000
15,100000,1,0,0,2,16.2,1599,103.2,5.0,320000
9,60000,1,0,0,1,20.85,1197,83.14,5.0,459999
20,86000,1,0,0,0,15.3,1341,83.0,5.0,65000
5,5000,1,0,0,0,18.6,1197,81.86,5.0,720000
8,37000,0,0,0,0,28.09,1248,88.5,5.0,800000
6,14000,1,0,0,0,20.3,1199,84.0,5.0,520000
10,70000,0,0,0,0,20.77,1248,88.76,7.0,580000
10,50000,1,0,0,0,17.4,1497,117.3,5.0,600000
11,60000,1,0,0,1,19.4,1198,86.8,5.0,290000
9,50000,3,0,0,0,26.6,998,58.16,5.0,360000
8,50000,1,0,0,0,20.85,1197,83.14,5.0,550000
12,70000,1,0,0,0,18.5,1197,82.85,5.0,375000
7,35000,1,0,1,0,20.51,998,67.0,5.0,420000
8,20000,1,0,0,0,21.21,1197,81.8,5.0,550000
7,20000,1,0,0,0,24.7,796,47.3,5.0,270000
7,7800,1,0,1,0,22.0,1197,81.8,5.0,700000
8,20000,1,0,0,0,20.4,1197,81.8,5.0,500000
6,15000,0,0,0,0,17.6,2179,147.94,7.0,1250000
12,31377,1,0,0,1,18.5,1197,82.85,5.0,320000
7,50000,0,0,0,0,28.4,1248,74.02,5.0,700000
10,60000,1,0,0,0,20.51,998,67.04,5.0,290000
13,100000,1,0,1,0,14.53,1794,138.1,5.0,550000
13,60000,1,0,0,0,19.4,1198,86.8,5.0,265000
7,5000,1,0,1,0,21.4,1197,83.1,5.0,830000
8,60000,0,0,0,0,14.1,2179,147.94,7.0,800000
14,25000,1,0,0,1,19.7,796,46.3,5.0,160000
7,30000,1,0,0,0,25.17,799,53.3,5.0,335000
8,80000,1,0,0,1,20.63,1198,67.0,5.0,329000
8,75000,0,0,0,0,24.3,1248,88.5,5.0,775000
5,32000,1,0,0,0,20.14,1197,81.86,5.0,524000
10,40000,1,0,0,0,22.74,796,47.3,5.0,245000
13,93000,1,0,0,1,17.0,1197,80.0,5.0,275000
7,60000,1,0,0,0,17.57,1193,88.7,5.0,520000
11,37000,1,0,0,0,16.95,1498,97.7,5.0,550000
7,15000,1,0,0,0,17.0,1497,121.36,5.0,910000
10,80000,1,0,0,0,19.49,1198,67.04,5.0,300000
9,140000,1,0,0,0,20.51,998,67.04,5.0,350000
12,70000,0,0,0,0,12.83,2696,162.0,7.0,900000
12,120000,0,0,0,1,17.21,1493,100.0,7.0,300000
15,110000,0,0,0,1,21.1,1248,73.9,5.0,250000
8,37000,0,0,0,0,19.67,1582,126.2,5.0,1100000
9,44000,1,0,0,0,25.17,799,53.3,5.0,270000
10,80000,0,0,0,0,20.77,1248,88.76,7.0,640000
10,125000,0,0,0,0,15.1,2179,140.0,7.0,650000
8,13500,1,0,0,0,15.37,1196,73.0,5.0,409999
14,75000,1,0,0,0,17.92,1086,62.1,5.0,165000
18,120000,1,0,0,1,13.2,1495,94.0,5.0,80000
13,120000,0,0,0,0,15.1,2179,140.0,7.0,535000
12,70000,0,0,0,0,12.99,2494,100.57,7.0,700000
12,70000,0,0,0,0,23.4,1248,74.0,5.0,550000
6,15000,1,0,1,0,19.0,1199,88.76,5.0,680000
16,53000,1,0,0,1,20.36,1197,78.9,5.0,200000
11,120000,0,0,0,1,23.4,1248,74.0,5.0,500000
9,70000,0,0,0,0,24.52,1248,88.5,7.0,1000000
17,120000,1,0,0,1,14.2,1341,82.9,5.0,110000
13,100000,1,0,0,1,18.5,1197,80.0,5.0,320000
10,100000,1,0,0,0,20.4,1197,83.11,5.0,350000
12,162500,0,0,0,0,19.4,1405,70.0,5.0,170000
8,39000,0,0,0,0,22.54,1396,88.73,5.0,800000
8,75000,0,0,0,0,26.8,1248,74.0,5.0,500000
8,50000,0,0,1,0,17.6,2179,153.86,7.0,1380000
6,40000,0,0,0,0,17.3,1497,121.0,8.0,1300000
12,92500,0,0,0,0,22.32,1582,126.3,5.0,530000
13,158000,0,0,0,0,23.4,1248,74.0,5.0,360000
13,120000,0,0,0,0,19.3,1248,73.9,5.0,310000
10,50000,0,0,0,1,26.0,1498,98.6,5.0,725000
13,110000,0,0,0,0,19.3,1248,73.9,5.0,340000
8,2000,0,0,0,1,25.4,1186,73.97,5.0,550000
14,181000,0,0,0,1,11.5,2982,171.0,7.0,1150000
9,70000,0,0,0,0,27.28,1047,69.0,5.0,380000
12,90000,1,0,1,1,17.97,1498,99.6,5.0,350000
6,2000,1,0,0,0,18.6,1197,81.86,5.0,610000
10,20000,1,0,0,0,20.85,1197,83.14,5.0,525000
14,120000,0,0,0,0,12.8,2494,102.0,7.0,480000
8,35000,0,0,0,0,16.55,2498,105.0,6.0,780000
13,193000,0,0,0,0,19.3,1248,73.9,5.0,320000
11,80000,1,0,0,0,20.4,1197,81.8,5.0,375000
6,40000,1,0,0,0,19.02,1198,67.05,5.0,300000
10,70000,0,0,0,3,22.54,1396,88.73,5.0,500000
14,122358,0,0,0,0,12.05,2179,120.0,9.0,404000
10,75000,0,0,0,0,14.07,2956,69.01,7.0,500000
8,120000,0,0,0,0,27.28,1047,69.0,5.0,350000
10,40000,1,0,0,0,17.57,1193,88.7,5.0,380000
17,95200,1,0,0,2,13.2,1495,94.0,5.0,114999
11,33033,1,1,0,0,19.4,1198,86.8,5.0,335000
10,63063,1,1,1,0,18.9,1197,82.0,5.0,465000
13,60000,0,0,0,0,21.02,1248,88.76,5.0,290000
20,45000,1,0,0,1,19.7,796,46.3,5.0,110000
14,80000,0,0,0,2,11.57,2179,138.1,7.0,450000
16,170000,0,0,0,1,13.6,2523,63.0,7.0,400000
18,207890,0,0,0,1,13.6,2523,63.0,7.0,210000
7,7976,0,0,1,0,17.9,2143,170.0,5.0,4600000
9,35000,1,0,0,0,16.8,796,34.2,8.0,220000
8,35000,1,0,0,0,18.9,1197,82.0,5.0,450000
8,35000,1,0,0,0,18.9,1197,82.0,5.0,450000
12,50000,1,0,1,0,16.95,1197,78.9,5.0,290000
9,20000,1,0,0,0,20.4,1197,81.8,5.0,520000
14,20000,1,0,1,0,16.95,1197,78.9,5.0,265000
13,50000,1,0,0,1,18.6,1197,85.8,5.0,330000
13,50000,1,0,0,1,18.6,1197,85.8,5.0,330000
11,120000,0,0,0,0,15.96,2523,62.1,7.0,509999
11,70000,1,0,0,0,17.1,1591,121.3,5.0,500000
10,50000,1,0,0,0,17.19,1197,81.86,5.0,525000
6,16500,1,0,0,0,21.01,1197,81.8,5.0,675000
15,70000,1,0,0,0,17.0,1197,80.0,5.0,300000
20,99361,1,0,0,1,19.7,796,46.3,5.0,90000
8,25000,0,0,0,0,26.59,1248,74.0,5.0,650000
11,70000,1,0,0,1,19.1,1197,85.8,5.0,409000
10,80000,0,0,0,1,24.0,1120,70.0,5.0,395000
11,70000,1,0,0,1,19.1,1197,85.8,5.0,400000
13,60000,1,0,0,2,18.6,1199,79.4,5.0,120000
7,10000,1,0,1,0,20.3,1199,84.0,5.0,645000
19,80000,1,0,0,0,16.1,796,37.0,4.0,81000
8,30000,0,0,0,0,25.6,1498,97.9,5.0,1300000
8,33000,0,0,0,0,25.6,1498,97.9,5.0,1250000
12,90000,1,0,0,2,16.02,1373,93.7,7.0,535000
11,80100,0,0,0,1,19.01,1461,108.5,5.0,555000
11,120000,1,0,0,0,17.4,1497,117.3,5.0,725000
9,40000,1,0,0,0,25.17,799,53.3,5.0,229999
12,160000,0,0,0,1,12.99,2494,100.6,8.0,800000
8,47000,1,0,0,0,20.51,998,67.04,5.0,409999
7,25000,0,0,0,0,21.38,1396,88.7,5.0,1210000
8,26000,1,0,0,0,23.84,1199,84.0,5.0,400000
7,29000,0,0,0,0,24.0,1186,73.97,5.0,520000
9,50000,1,0,1,0,21.4,1197,83.1,5.0,650000
14,58000,1,0,0,2,16.1,1298,88.2,5.0,325000
13,120000,1,0,1,0,17.4,1197,85.8,5.0,420000
11,50000,1,0,0,0,20.4,1197,81.8,5.0,400000
15,80000,1,0,0,3,17.0,1197,80.0,5.0,254999
22,60000,1,0,0,3,17.3,993,60.0,5.0,65000
8,36000,1,0,0,0,23.1,998,67.04,5.0,351000
18,120000,0,0,0,2,12.8,2494,102.0,8.0,404000
14,185000,0,0,0,2,21.1,1248,73.9,5.0,185000
14,50000,0,0,0,0,23.08,1461,63.1,5.0,250000
23,100000,1,0,0,3,17.3,993,60.0,5.0,60000
12,50000,1,0,0,1,17.1,1591,121.3,5.0,500000
18,80000,1,0,0,1,18.2,998,67.1,5.0,85000
20,80000,1,0,0,3,19.7,796,46.3,5.0,85000
14,90000,0,0,0,3,19.3,1248,73.9,5.0,265000
15,162000,1,0,0,1,19.0,998,66.1,5.0,130000
12,110000,0,0,0,2,20.77,1248,88.76,7.0,480000
17,120000,0,0,0,2,17.8,1248,75.0,5.0,170000
14,45000,0,0,0,0,23.08,1461,63.1,5.0,275000
20,90000,1,0,0,1,18.9,998,67.1,5.0,89000
15,90000,0,0,0,1,20.0,1399,68.0,5.0,170000
6,16500,1,1,0,0,17.0,1197,110.0,5.0,1090000
8,67000,0,0,1,0,17.01,1582,126.2,5.0,1100000
7,52000,1,1,0,0,22.0,1197,81.8,5.0,610000
9,40000,1,1,0,0,20.63,1198,67.0,5.0,335000
10,40000,1,1,0,0,18.9,1197,82.0,5.0,434999
7,35000,0,0,0,0,14.24,2755,174.5,7.0,3000000
7,13000,1,1,0,0,20.71,799,53.26,5.0,390000
13,40000,1,1,0,0,18.5,1198,86.8,5.0,325000
6,10000,1,1,0,0,17.0,1198,73.75,5.0,640000
13,9000,1,1,0,0,16.95,1498,97.7,5.0,450000
12,70000,0,1,0,1,23.59,1364,67.06,5.0,400000
16,60000,1,1,0,0,20.36,1197,78.9,5.0,215000
11,40000,0,1,0,0,20.45,1461,83.8,5.0,570000
13,93000,0,1,0,0,15.1,2179,140.0,7.0,680000
17,80000,0,0,0,3,12.8,2494,102.0,7.0,325000
14,50000,1,0,0,1,15.64,1193,64.08,5.0,150000
12,68000,1,1,1,0,14.5,1797,147.5,5.0,690000
12,25000,0,0,1,0,14.84,2143,170.0,5.0,1550000
13,18000,1,1,0,0,25.4,624,37.5,4.0,64000
12,120000,0,0,0,0,23.08,1461,63.1,5.0,250000
20,35000,1,0,0,0,18.9,998,67.1,5.0,65000
9,60000,0,0,0,1,26.59,1248,74.0,5.0,550000
15,70000,1,0,0,3,20.36,1197,78.9,5.0,140000
9,30000,1,0,0,0,25.17,799,53.3,5.0,300000
9,70000,1,0,1,0,16.34,1798,189.3,5.0,800000
8,9000,0,1,1,0,13.6,1999,177.0,5.0,2625000
8,45000,0,1,1,0,19.33,1999,177.0,5.0,3200000
10,110000,0,0,0,0,14.1,2179,147.94,7.0,503000
6,20000,0,0,1,0,18.0,1969,190.0,5.0,3800000
9,68089,1,2,1,0,19.16,2494,157.7,5.0,2000000
12,58343,1,2,0,0,21.79,998,67.05,5.0,225000
7,38817,0,1,0,0,27.39,1248,74.0,5.0,740000
9,56494,1,2,0,0,18.2,1199,88.7,5.0,550000
12,79328,0,2,0,1,12.99,2494,100.6,7.0,750000
6,5621,1,2,1,0,22.0,1197,81.8,5.0,650000
8,25538,1,2,0,0,16.78,1496,88.73,5.0,625000
7,69779,1,1,1,0,22.0,1197,81.8,5.0,600000
8,56290,0,1,0,0,24.0,1186,73.97,5.0,450000
6,7500,0,1,1,0,16.78,1995,190.0,5.0,5400000
6,8500,0,1,1,0,16.78,1995,190.0,5.0,5500000
6,7032,1,2,1,0,19.0,1199,88.76,5.0,779000
9,11000,1,1,1,0,14.3,1598,103.5,5.0,645000
7,2000,0,1,1,0,16.8,1984,150.0,5.0,2475000
15,106000,1,0,0,2,20.36,1197,78.9,5.0,150000
16,120000,1,0,1,1,11.1,2354,158.8,5.0,500000
10,90000,0,0,0,0,26.59,1248,74.0,5.0,480000
11,70000,0,0,0,2,22.32,1582,126.32,5.0,535000
20,240000,0,0,0,2,12.8,2494,102.0,8.0,250000
13,100000,0,0,0,1,21.5,1248,88.8,5.0,300000
16,214000,1,0,0,1,13.9,1599,103.2,5.0,340000
16,214000,0,0,0,1,16.8,1493,110.0,5.0,340000
9,50000,1,0,0,0,22.74,796,47.3,5.0,240000
7,1000,1,0,1,0,18.0,1497,117.6,5.0,1085000
8,19000,0,0,1,0,28.4,1248,74.02,5.0,750000
13,265000,0,0,0,1,17.0,1405,70.0,5.0,95000
5,35000,3,0,0,0,20.88,1196,61.7,5.0,409999
11,80000,1,0,0,1,23.95,998,67.05,5.0,215000
9,50000,0,0,1,0,16.0,2179,140.0,7.0,1290000
15,80000,1,0,0,0,20.92,998,67.1,5.0,150000
12,50000,1,0,0,1,21.1,814,55.2,5.0,219000
7,100000,1,0,0,0,23.84,1199,84.0,5.0,325000
12,120000,1,0,0,1,15.1,1196,73.0,5.0,260000
8,9000,0,1,1,0,13.6,1999,177.0,5.0,2625000
8,45000,0,1,1,0,19.33,1999,177.0,5.0,3200000
10,110000,0,0,0,0,14.1,2179,147.94,7.0,503000
6,20000,0,0,1,0,18.0,1969,190.0,5.0,3800000
9,68089,1,2,1,0,19.16,2494,157.7,5.0,2000000
12,58343,1,2,0,0,21.79,998,67.05,5.0,225000
7,38817,0,1,0,0,27.39,1248,74.0,5.0,740000
9,56494,1,2,0,0,18.2,1199,88.7,5.0,550000
12,79328,0,2,0,1,12.99,2494,100.6,7.0,750000
6,5621,1,2,1,0,22.0,1197,81.8,5.0,650000
8,25538,1,2,0,0,16.78,1496,88.73,5.0,625000
7,69779,1,1,1,0,22.0,1197,81.8,5.0,600000
8,56290,0,1,0,0,24.0,1186,73.97,5.0,450000
6,7500,0,1,1,0,16.78,1995,190.0,5.0,5400000
6,8500,0,1,1,0,16.78,1995,190.0,5.0,5500000
6,7032,1,2,1,0,19.0,1199,88.76,5.0,779000
9,11000,1,1,1,0,14.3,1598,103.5,5.0,645000
7,2000,0,1,1,0,16.8,1984,150.0,5.0,2475000
6,40000,0,0,1,0,23.8,1498,78.9,5.0,700000
8,45000,0,0,0,0,21.38,1396,88.7,5.0,950000
15,80000,1,0,0,1,19.7,796,46.3,5.0,160000
10,135000,0,0,0,1,24.4,1120,71.01,5.0,409999
10,120000,0,0,0,1,12.99,2494,100.6,7.0,840000
12,67000,0,0,0,0,23.59,1364,67.1,5.0,450000
8,50000,0,0,0,0,28.4,1248,74.02,5.0,900000
17,134000,0,0,0,1,12.8,2494,102.0,7.0,570000
14,110000,0,0,0,1,23.08,1461,63.1,5.0,254999
16,40000,1,0,0,0,16.1,796,37.0,4.0,130000
12,120000,0,0,0,1,23.4,1248,74.0,5.0,530000
10,110000,0,0,0,1,20.14,1498,88.8,5.0,520000
14,170000,0,0,0,1,21.0,1461,64.1,5.0,229999
21,80000,1,0,0,1,16.1,796,37.0,4.0,81000
9,47000,0,0,0,0,25.2,1248,74.0,5.0,600000
10,93000,1,0,0,0,19.1,1197,81.86,5.0,409999
15,70000,1,0,0,1,16.1,796,37.0,4.0,120000
11,50000,1,0,0,0,23.1,998,67.04,5.0,320000
10,70000,0,0,0,0,20.0,1399,68.05,5.0,292000
13,80000,0,0,0,0,13.93,2179,138.03,7.0,390000
9,44000,1,0,0,0,18.16,1196,86.8,5.0,550000
11,25000,1,0,0,0,23.1,998,67.04,5.0,385000
9,25000,1,0,0,0,15.29,1591,121.3,5.0,800000
6,10000,1,0,0,0,21.21,1197,81.8,5.0,675000
7,50000,0,0,0,0,17.6,2179,153.86,7.0,1525000
7,30000,0,0,0,0,23.0,1498,98.96,5.0,950000
10,50000,0,0,0,1,21.19,1396,88.73,5.0,610000
13,120000,0,0,0,0,22.54,1396,88.73,5.0,525000
6,40000,0,0,1,0,23.8,1498,78.9,5.0,700000
10,80000,0,0,0,0,15.96,2523,62.1,7.0,375000
10,90000,0,0,0,0,20.45,1461,83.8,5.0,580000
10,50000,1,0,0,1,20.4,1197,83.11,5.0,434999
5,2136,1,0,0,0,22.5,999,67.0,5.0,350000
13,250000,0,0,0,0,12.99,2494,100.0,7.0,730000
10,35000,1,0,0,0,18.6,1197,81.83,5.0,600000
10,120000,0,0,0,0,12.99,2494,100.6,7.0,1050000
8,70000,0,0,0,0,27.39,1248,74.0,5.0,735000
7,18000,0,1,0,0,19.6,1461,108.45,5.0,1050000
9,110000,0,0,0,1,18.2,1248,73.74,7.0,420000
8,60000,0,0,0,0,23.65,1248,88.5,5.0,800000
10,60000,0,0,1,0,12.55,2982,168.5,7.0,2000000
9,147000,0,0,0,1,26.59,1248,74.0,5.0,600000
10,130000,0,0,1,0,12.55,2982,168.5,7.0,1900000
